,precision,recall,f1-score,support
tug,0.9931972789115646,0.9842696629213483,0.9887133182844243,445.0
tanker,0.9215686274509803,1.0,0.9591836734693877,94.0
cargo,0.9935691318327974,0.9856459330143541,0.9895916733386709,627.0
passengership,0.9459459459459459,1.0,0.9722222222222222,35.0
background,0.9984709480122325,0.9969465648854962,0.9977081741787625,655.0
accuracy,0.990301724137931,0.990301724137931,0.990301724137931,0.990301724137931
macro avg,0.9705503864307042,0.9933724321642398,0.9814838122986936,1856.0
weighted avg,0.990665228885411,0.990301724137931,0.9903778572149274,1856.0
